epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,14661,1.40857,0.92489,1.0303,0.60032,0.40052,0.44153,0.25131,1.28656,0.7964,1.00141,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
49,14972.9,1.40532,0.92021,1.02592,0.60799,0.38974,0.44126,0.25195,1.28491,0.79556,1.00135,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
50,15274.9,1.40561,0.91937,1.02439,0.57469,0.4109,0.44202,0.2527,1.28712,0.79548,1.00223,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
51,15581.2,1.40485,0.91898,1.02781,0.56966,0.40515,0.43875,0.25191,1.27909,0.79509,1.00056,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
52,15891.2,1.40201,0.91693,1.02676,0.56858,0.40517,0.43368,0.2492,1.28451,0.79639,1.00098,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
53,16191.2,1.39663,0.91311,1.02529,0.57949,0.40476,0.43794,0.24957,1.28337,0.79336,1.00016,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
54,16491.2,1.3953,0.90952,1.02178,0.58758,0.40134,0.43857,0.25014,1.28243,0.79454,0.99942,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
55,16793,1.38123,0.90287,1.01962,0.57132,0.4081,0.44012,0.25245,1.27818,0.79069,0.99907,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
56,17094.2,1.38538,0.90498,1.02265,0.57211,0.40935,0.44079,0.25186,1.2798,0.79082,0.99839,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
57,17395.2,1.38479,0.89762,1.01795,0.57938,0.40647,0.4369,0.2521,1.27736,0.79019,0.99665,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
58,17695.7,1.37804,0.89687,1.01757,0.59425,0.40247,0.44055,0.25163,1.27753,0.78897,0.99587,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
59,17997,1.37661,0.89071,1.01475,0.59218,0.40158,0.44075,0.25206,1.27801,0.78861,0.99631,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
60,18297.3,1.3761,0.89096,1.0159,0.59703,0.4032,0.44409,0.25455,1.27699,0.78844,0.99648,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
61,18599.5,1.37332,0.88637,1.01404,0.588,0.40005,0.44111,0.25315,1.27833,0.78943,0.99619,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
62,18899.6,1.36664,0.88271,1.01042,0.60535,0.39722,0.44465,0.25385,1.27751,0.78728,0.99583,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
63,19199.8,1.36346,0.87823,1.01125,0.61058,0.40168,0.44499,0.25321,1.27901,0.78723,0.99595,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
64,19499.8,1.36358,0.87959,1.01043,0.61334,0.39941,0.44618,0.25309,1.27745,0.78531,0.99526,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
65,19800,1.36027,0.8704,1.00714,0.6027,0.408,0.44759,0.25374,1.27709,0.78481,0.99534,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
66,20085.2,1.34212,0.83196,1.00112,0.60261,0.39881,0.44452,0.25228,1.28178,0.78939,0.99641,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
67,20371,1.33112,0.81983,0.99603,0.6029,0.39474,0.44301,0.2517,1.28317,0.79037,0.99715,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
68,20657.8,1.32212,0.81293,0.99268,0.60238,0.39729,0.44559,0.25186,1.28372,0.7896,0.99702,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
69,20943.7,1.31892,0.81032,0.99201,0.58122,0.40457,0.44378,0.24992,1.28416,0.78985,0.99712,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
70,21230.5,1.31826,0.80588,0.99177,0.58079,0.40472,0.44213,0.25004,1.28466,0.79013,0.99696,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
71,21517.7,1.31405,0.80228,0.98881,0.58414,0.40708,0.44136,0.2494,1.28497,0.7904,0.99694,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
72,21805.3,1.30551,0.79867,0.98822,0.57928,0.4073,0.43968,0.24869,1.28679,0.79159,0.99729,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
73,22091.6,1.30379,0.79132,0.98466,0.58679,0.40453,0.43953,0.24813,1.28774,0.79253,0.99764,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
74,22378.4,1.29963,0.79135,0.98684,0.58443,0.40248,0.43848,0.24792,1.28809,0.79317,0.99772,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
75,22665.4,1.29968,0.7893,0.98453,0.58211,0.4054,0.43979,0.24793,1.28833,0.79273,0.99798,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
