epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1
12,0.965617,0.717073,0.960096,0.681818,0.680541,0.681818,0.681818
13,0.962967,0.702439,0.951796,0.681818,0.680541,0.681818,0.681818
14,0.963712,0.643902,0.945564,0.681818,0.677778,0.681818,0.681818
1,1.072368,0.422701,1.021708,0.568493,0.545976,0.568493,0.568493
2,0.992339,0.609100,0.954230,0.689498,0.686103,0.689498,0.689498
1,1.085429,0.396282,1.057579,0.461187,0.440360,0.461187,0.461187
2,1.033668,0.519569,1.012471,0.534247,0.514726,0.534247,0.534247
3,0.996042,0.619374,0.973373,0.593607,0.582456,0.593607,0.593607
4,0.958521,0.677104,0.938732,0.666667,0.658718,0.666667,0.666667
5,0.928854,0.729941,0.906591,0.721461,0.717664,0.721461,0.721461
6,0.899551,0.746575,0.876243,0.753425,0.750307,0.753425,0.753425
7,0.867203,0.780822,0.852540,0.794521,0.790601,0.794521,0.794521
8,0.849443,0.786693,0.828161,0.817352,0.813567,0.817352,0.817352
9,0.829472,0.801370,0.807972,0.835616,0.832772,0.835616,0.835616
10,0.805206,0.816047,0.785274,0.840183,0.837469,0.840183,0.840183
11,0.788596,0.818004,0.767253,0.849315,0.845751,0.849315,0.849315
12,0.769738,0.829746,0.749991,0.858447,0.855156,0.858447,0.858447
13,0.754268,0.816047,0.731109,0.858447,0.855705,0.858447,0.858447
14,0.740797,0.816047,0.714656,0.858447,0.855611,0.858447,0.858447
15,0.723019,0.833659,0.707706,0.858447,0.855611,0.858447,0.858447
1,1.095275,0.418719,1.084795,0.363636,0.348127,0.363636,0.363636
2,1.080320,0.399015,1.074759,0.409091,0.384979,0.409091,0.409091
3,1.081394,0.379310,1.066215,0.454545,0.426225,0.454545,0.454545
4,1.071033,0.472906,1.058394,0.454545,0.435185,0.454545,0.454545
5,1.093081,0.364532,1.049512,0.454545,0.440693,0.454545,0.454545
6,1.074764,0.394089,1.042393,0.477273,0.470310,0.477273,0.477273
7,1.058898,0.512315,1.042929,0.500000,0.495052,0.500000,0.500000
8,1.054289,0.458128,1.039640,0.500000,0.475631,0.500000,0.500000
9,1.046470,0.497537,1.031455,0.545455,0.530684,0.545455,0.545455
10,1.044351,0.507389,1.027283,0.568182,0.541063,0.568182,0.568182
1,1.105182,0.333333,1.130670,0.279070,0.257125,0.279070,0.279070
2,1.111740,0.333333,1.123489,0.348837,0.326684,0.348837,0.348837
3,1.087610,0.414141,1.120685,0.325581,0.317237,0.325581,0.325581
4,1.094442,0.358586,1.117976,0.325581,0.293492,0.325581,0.325581
5,1.085439,0.398990,1.114525,0.325581,0.293492,0.325581,0.325581
